Area Code,12,13,14,15,16,17
110,60%,64%,75%,100%,80%,88%
111,100%,27%,71%,50%,38%,67%
112,76%,86%,84%,96%,89%,77%
113,76%,80%,65%,67%,83%,86%
114,54%,94%,84%,86%,67%,100%
115,100%,75%,100%,100%,67%,25%
116,33%,33%,33%,100%,83%,50%
117,90%,79%,80%,81%,84%,62%
118,77%,26%,57%,50%,86%,50%
119,80%,70%,81%,82%,68%,67%
120,76%,70%,43%,69%,71%,81%
121,67%,40%,71%,,100%,33%
122,50%,60%,56%,,100%,
123,33%,,,,,33%
124,86%,33%,80%,100%,67%,80%
125,61%,56%,69%,78%,79%,71%
126,33%,40%,,50%,100%,50%
127,72%,82%,83%,91%,83%,91%
128,77%,73%,82%,74%,82%,72%
Total,68%,61%,71%,80%,79%,66%
