Area Code,12,13,14,15,16,17
110,52%,50%,42%,100%,60%,88%
111,100%,18%,43%,50%,25%,33%
112,68%,79%,73%,78%,85%,68%
113,68%,65%,61%,48%,61%,71%
114,39%,81%,76%,71%,33%,100%
115,83%,75%,75%,86%,33%,0%
116,33%,33%,33%,100%,67%,33%
117,80%,64%,64%,69%,74%,54%
118,77%,21%,43%,50%,57%,50%
119,59%,60%,69%,71%,58%,47%
120,58%,48%,38%,38%,57%,75%
121,67%,40%,57%,-,0%,33%
122,25%,40%,44%,0%,100%,0%
123,33%,-,0%,0%,0%,33%
124,86%,27%,80%,80%,50%,60%
125,52%,44%,45%,72%,79%,50%
126,33%,40%,0%,0%,100%,25%
127,65%,72%,77%,82%,78%,91%
128,66%,63%,70%,67%,73%,54%
Total,60%,60%,59%,59%,57%,51%
